,Name,Club,Country,League,Overall Rating,Position,Skill,Weak Foot,Work Rate,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Base Stats,In Game Stats
1033,Kaan Ayhan,Fortuna Düsseldorf,Turkey,Bundesliga,77,CB,3,4,H / M,64,53,71,68,77,75,184,408,1994
1034,Tobias Strobl,Borussia Mönchengladbach,Germany,Bundesliga,77,CDM,2,3,M / M,53,49,66,58,79,77,188,382,1822
1035,Romain Saïss,Wolverhampton Wanderers,Morocco,Premier League,77,CDM,3,3,M / H,62,53,70,69,76,74,190,404,1915
1036,Kevin Mbabu,VfL Wolfsburg,Switzerland,Bundesliga,77,RB,3,3,H / M,91,51,69,73,72,82,184,438,1995
1037,Ricardo Centurión,Atlético de San Luis,Argentina,LIGA Bancomer MX,77,LM,4,3,H / M,90,70,69,81,37,66,174,413,1955
1038,Marco Benassi,Fiorentina,Italy,Serie A TIM,77,CM,3,3,H / M,64,71,75,76,72,74,184,432,2069
1039,Nacho,R. Valladolid CF,Spain,LaLiga Santander,77,LB,3,3,H / M,84,55,66,70,75,70,175,420,2008
1040,Wylan Cyprien,OGC Nice,France,Ligue 1 Conforama,77,CM,4,3,M / M,76,75,76,78,74,78,180,457,2185
1041,Mohamed Elneny,Arsenal,Egypt,Premier League,77,CDM,3,3,M / H,59,63,72,71,74,74,181,413,1979
1042,Pierre-Emile Højbjerg,Southampton,Denmark,Premier League,77,CM,3,4,H / H,61,70,74,74,73,79,185,431,2037
1043,Benjamin Bourigeaud,Stade Rennais FC,France,Ligue 1 Conforama,77,LM,4,3,M / M,69,73,78,77,61,70,178,428,2082
1044,Leonel Miranda,Club Tijuana,Argentina,LIGA Bancomer MX,77,CM,3,3,M / M,76,67,76,77,70,69,173,435,2060
1045,Lisandro López,Buenos Aires,Argentina,SAF,77,CB,2,3,M / H,63,51,50,62,77,72,190,375,1745
1046,Pablo Pérez,Independiente,Argentina,SAF,77,CM,3,3,H / H,63,68,77,75,70,80,175,433,2085
1047,Ihlas Bebou,TSG 1899 Hoffenheim,Togo,Bundesliga,77,RW,4,3,M / M,93,70,66,80,33,64,183,406,1857
1048,Kenny Tete,Olympique Lyonnais,Holland,Ligue 1 Conforama,77,RB,2,2,M / H,76,46,66,67,78,77,180,410,1909
1049,Wendell,Bayer 04 Leverkusen,Brazil,Bundesliga,77,LB,4,2,H / M,82,49,73,78,72,72,178,426,2023
1050,Maximiliano Meza,Monterrey,Argentina,LIGA Bancomer MX,77,LW,4,3,H / M,80,72,74,82,48,71,180,427,1996
1051,Giovanni Simeone,Fiorentina,Argentina,Serie A TIM,77,ST,3,3,H / H,77,75,59,76,39,71,180,397,1909
1052,José Luis Palomino,Atalanta,Argentina,Serie A TIM,77,CB,2,3,L / M,52,32,55,59,78,80,188,356,1641
1053,David Brooks,Bournemouth,Wales,Premier League,77,RM,4,4,M / M,75,71,75,79,48,66,183,414,1979
1054,Anton Miranchuk,Lokomotiv Moscow,Russia,League of Russia,77,CAM,3,4,M / M,76,73,74,77,28,62,183,390,1852
1055,Stefan Lainer,Borussia Mönchengladbach,Austria,Bundesliga,77,RB,3,4,H / H,85,64,68,72,70,77,175,436,2023
1056,Maxime Lopez,Olympique de Marseille,France,Ligue 1 Conforama,77,CM,4,3,M / M,72,67,78,78,65,58,167,418,2068
1057,Lewis Cook,Bournemouth,England,Premier League,77,CM,3,4,M / M,70,63,75,78,66,69,175,421,2023
1058,Vallejo,Wolverhampton Wanderers,Spain,Premier League,77,CB,2,3,L / H,71,41,55,63,77,67,184,374,1734
1059,Davide Calabria,Milan,Italy,Serie A TIM,77,RB,3,3,M / M,76,43,68,74,76,69,176,406,1949
1060,Gastón Pereiro,PSV,Uruguay,Eredivisie,77,CAM,3,3,M / L,71,75,74,79,40,69,188,408,1955
1061,Pierre Lees-Melou,OGC Nice,France,Ligue 1 Conforama,77,CM,4,3,H / H,73,67,77,77,67,73,185,434,2048
1062,Emre Akbaba,Galatasaray SK,Turkey,Süper Lig,77,CAM,4,3,H / M,75,73,75,76,55,67,180,421,2025
1063,Christopher Nkunku,RB Leipzig,France,Bundesliga,77,CM,3,3,M / H,77,74,75,80,69,65,179,440,2082
1064,Razvan Marin,Ajax,Romania,Eredivisie,77,CM,4,4,H / M,69,74,78,75,65,70,174,431,2096
1065,Noussair Mazraoui,Ajax,Morocco,Eredivisie,77,RB,3,3,H / L,81,59,72,80,72,69,183,433,1992
1066,Fabricio Bustos,Independiente,Argentina,SAF,77,RB,4,3,H / L,87,62,72,78,70,72,167,441,2005
1067,Christian Luyindama,Galatasaray SK,Congo DR,Süper Lig,77,CB,2,2,M / M,73,37,50,52,76,84,191,372,1660
1068,Wendel,Sporting CP,Brazil,Liga NOS,77,CM,3,3,H / M,78,71,74,79,72,71,180,445,2115
1069,Nikola Vlašić,CSKA Moscow,Croatia,League of Russia,77,CAM,3,4,M / M,79,70,73,79,48,66,178,415,1950
1070,Lasse Schøne,Genoa,Denmark,Serie A TIM,77,CM,3,3,M / M,48,74,81,76,63,62,177,404,2062
1071,Matías Suárez,Núñez,Argentina,SAF,77,ST,4,4,H / M,70,77,72,81,31,67,183,398,1933
1072,Pablo Hernández,Independiente,Chile,SAF,77,CM,3,3,H / L,65,71,74,72,64,75,185,421,2015
1073,Djibril Sidibé,Everton,France,Premier League,77,RB,3,4,H / M,77,62,74,74,73,79,182,439,2074
1074,Riccardo Saponara,Genoa,Italy,Serie A TIM,77,CAM,4,4,H / M,68,67,77,80,43,61,184,396,1903
1075,Fayçal Fajr,Getafe CF,Morocco,LaLiga Santander,77,CM,3,4,H / M,63,73,79,76,68,67,178,426,2035
1076,Mattia De Sciglio,Piemonte Calcio,Italy,Serie A TIM,77,RB,3,4,M / M,75,46,69,75,77,72,182,414,1974
1077,Eduardo Vargas,Tigres U.A.N.L.,Chile,LIGA Bancomer MX,77,CAM,4,4,M / L,80,76,70,80,39,67,174,412,1974
1078,Antonio Sanabria,Genoa,Paraguay,Serie A TIM,77,ST,4,4,H / M,76,74,71,77,35,64,180,397,1889
1079,Ramy Bensebaini,Borussia Mönchengladbach,Algeria,Bundesliga,77,LB,3,3,M / M,67,50,68,70,77,80,186,412,1925
1080,Cecilio Domínguez,Independiente,Paraguay,SAF,77,LM,4,2,H / M,81,71,73,76,44,70,179,415,1964
1081,Nahitan Nández,Cagliari,Uruguay,Serie A TIM,77,CM,3,3,H / H,77,67,68,76,76,83,172,447,2083
1082,Exequiel Palacios,Núñez,Argentina,SAF,77,CM,4,4,H / H,77,73,73,77,68,74,177,442,2093
1083,Patrick Cutrone,Wolverhampton Wanderers,Italy,Premier League,77,ST,3,3,M / M,73,74,56,74,29,69,183,375,1781
1084,Danilo,Bologna,Brazil,Serie A TIM,77,CB,2,3,L / M,48,40,49,54,80,63,185,334,1611
1085,Claudemir,SC Braga,Brazil,Liga NOS,77,CDM,3,3,M / M,62,67,74,73,73,77,185,426,2039
1086,Fransérgio,SC Braga,Brazil,Liga NOS,77,CM,3,3,H / M,58,73,73,71,71,81,187,427,2053
1087,Pedro Henrique,Vitória Guimarães,Brazil,Liga NOS,77,CB,2,2,M / M,45,42,45,57,77,82,190,348,1572
1088,Brian Fernández,Portland Timbers,Argentina,Major League Soccer,77,ST,3,4,H / M,88,76,71,78,29,63,175,405,1939
1089,Borja Mayoral,Levante UD,Spain,LaLiga Santander,77,ST,3,4,M / M,69,75,69,77,38,68,182,396,1904
1090,Luiz Felipe,Lazio,Brazil,Serie A TIM,77,CB,3,3,M / H,76,29,59,66,78,67,187,375,1691
1091,Scott McTominay,Manchester United,Scotland,Premier League,77,CDM,3,3,H / H,61,65,72,72,74,80,193,424,1992
1092,Galeno,SC Braga,Brazil,Liga NOS,77,LW,4,3,H / M,88,70,66,80,32,65,182,401,1881
1093,Jô,Nagoya Grampus,Brazil,Meiji Yasuda J1 League,77,ST,3,3,M / L,67,75,65,73,28,75,192,383,1839
1094,Iván Ramis,SD Eibar,Spain,LaLiga Santander,77,CB,2,3,M / H,32,61,62,58,77,81,188,371,1857
1095,Iván Cuéllar,CD Leganés,Spain,LaLiga Santander,77,GK,1,2,M / M,74,76,78,79,59,73,187,439,957
1096,Klaas-Jan Huntelaar,Ajax,Holland,Eredivisie,77,ST,2,3,M / M,53,80,63,66,35,70,186,367,1827
1097,Joe Hart,Burnley,England,Premier League,77,GK,1,3,M / M,74,75,67,81,56,75,196,428,943
1098,Ashley Young,Manchester United,England,Premier League,77,RB,4,3,H / M,70,66,74,75,73,71,175,429,2068
1099,Renato Civelli,Club Atlético Banfield,Argentina,SAF,77,CB,2,3,L / H,33,59,56,47,76,84,195,355,1721
1100,Gelson Tavares Fernandes,Eintracht Frankfurt,Switzerland,Bundesliga,77,CDM,2,3,M / H,57,56,68,66,77,80,179,404,1938
1101,Javi García,Real Betis,Spain,LaLiga Santander,77,CDM,3,3,L / H,50,62,67,69,76,82,186,406,1959
1102,Vedad Ibiševic,Hertha BSC,Bosnia and Herzegovina,Bundesliga,77,ST,3,3,M / L,41,78,68,72,41,70,188,370,1868
1103,Graziano Pellè,Shandong Luneng Taishan,Italy,CSL,77,ST,3,4,H / L,48,76,64,64,34,85,193,371,1804
1104,Bradley Wright-Phillips,New York Red Bulls,England,Major League Soccer,77,ST,3,4,H / M,71,76,64,71,43,69,173,394,1922
1105,Ignacio Scocco,Núñez,Argentina,SAF,77,ST,4,4,H / M,73,80,71,80,35,66,177,405,1977
1106,Eljero Elia,Medipol Başakşehir FK,Holland,Süper Lig,77,LM,5,3,M / M,92,68,68,84,35,67,176,414,1917
1107,Zlatko Junuzovic,FC Red Bull Salzburg,Austria,Österreichische Fußball-Bundesliga,77,CM,3,4,H / H,71,73,78,81,65,73,172,441,2181
1108,Claudio Bravo,Manchester City,Chile,Premier League,77,GK,1,3,M / M,77,76,84,77,58,75,184,447,1147
1109,Vadis Odjidja-Ofoe,KAA Gent,Belgium,Belgium Pro League,77,CM,3,4,H / M,56,73,76,74,69,79,183,427,2059
1110,Régis Gurtner,Amiens SC,France,Ligue 1 Conforama,77,GK,1,2,M / M,78,75,74,79,41,75,182,422,826
1111,Morgan Schneiderlin,Everton,France,Premier League,77,CDM,3,3,L / H,56,60,71,71,75,76,185,409,1978
1112,Jeremain Lens,Beşiktaş JK,Holland,Süper Lig,77,RM,4,4,H / M,89,74,71,79,36,71,178,420,1980
1113,Loïc Rémy,LOSC Lille,France,Ligue 1 Conforama,77,ST,4,3,M / M,74,77,66,73,37,68,185,395,1898
1114,Marek Suchý,FC Augsburg,Czech Republic,Bundesliga,77,CB,2,3,L / H,64,52,58,64,76,78,183,392,1825
1115,Sebastian De Maio,Udinese,France,Serie A TIM,77,CB,2,3,M / H,57,33,38,55,79,79,190,341,1582
1116,Pablo Aguilar,Cruz Azul,Paraguay,LIGA Bancomer MX,77,CB,2,3,M / H,63,52,53,57,77,78,180,380,1801
1117,Fabian Delph,Everton,England,Premier League,77,LB,3,3,M / H,69,70,76,79,73,74,174,441,2120
1118,Roberto,West Ham United,Spain,Premier League,77,GK,1,2,M / M,80,70,73,82,45,74,192,424,980
1119,Angelo Ogbonna,West Ham United,Italy,Premier League,77,CB,2,3,M / M,58,39,58,60,79,74,191,368,1728
1120,Ibrahima Traoré,Borussia Mönchengladbach,Guinea,Bundesliga,77,RM,4,4,H / H,82,70,74,83,44,49,171,402,1978
1121,Alan Kardec,Chongqing Lifan FC,Brazil,CSL,77,ST,3,3,M / L,73,76,64,70,34,74,187,391,1868
1122,Odion Ighalo,Shanghai Greenland Shenhua FC,Nigeria,CSL,77,ST,4,3,M / M,84,72,56,78,36,79,183,405,1913
1123,Douglas,Vitória Guimarães,Brazil,Liga NOS,77,GK,1,2,M / M,78,75,71,77,33,74,188,408,922
1124,Daryl Janmaat,Watford,Holland,Premier League,77,RB,3,3,H / M,67,65,73,75,75,74,185,429,2045
1125,Aleksandar Dragovic,Bayer 04 Leverkusen,Austria,Bundesliga,77,CB,2,4,M / M,65,51,60,65,77,75,186,393,1883
1126,Ashley Westwood,Burnley,England,Premier League,77,CM,3,3,M / M,60,60,79,74,74,76,174,423,2088
1127,Victor Sánchez,RCD Espanyol,Spain,LaLiga Santander,77,CM,3,3,L / H,55,63,77,74,75,66,174,410,2043
1128,Tomás Rincón,Torino,Venezuela,Serie A TIM,77,CM,3,3,M / H,68,59,71,76,76,80,177,430,2062
1129,Johnathan Aparecido Silva,Tianjin TEDA FC,Brazil,CSL,77,ST,4,5,H / L,79,76,63,74,40,76,184,408,1914
1130,Marvin Plattenhardt,Hertha BSC,Germany,Bundesliga,77,LB,3,2,M / M,71,55,77,75,74,72,181,424,2062
1131,Yunus Malli,VfL Wolfsburg,Turkey,Bundesliga,77,LM,4,4,M / M,71,68,76,80,33,57,179,385,1883
1132,Luis Miguel Rodríguez,Colón de Santa Fe,Argentina,SAF,77,ST,4,4,H / L,67,79,73,80,27,66,168,392,1959
1133,Cenk Tosun,Everton,Turkey,Premier League,77,ST,3,4,H / M,71,77,66,73,36,73,183,396,1931
1134,Guido Burgstaller,FC Schalke 04,Austria,Bundesliga,77,ST,3,5,H / H,67,76,66,72,38,84,187,403,1904
1135,Renan Ribeiro,Sporting CP,Brazil,Liga NOS,77,GK,1,2,M / M,81,70,67,80,50,75,193,423,855
1136,Jonas Martin,RC Strasbourg Alsace,France,Ligue 1 Conforama,77,CM,4,4,H / M,62,69,77,75,68,73,182,424,2040
1137,Juanmi,Real Betis,Spain,LaLiga Santander,77,LW,3,3,M / M,74,77,67,78,30,53,172,379,1851
1138,Tomás Pina,D. Alavés,Spain,LaLiga Santander,77,CM,3,3,M / H,49,66,72,74,72,71,184,404,1959
1139,Cláudio Ramos,Tondela,Portugal,Liga NOS,77,GK,1,3,M / M,81,75,65,79,50,73,182,423,959
1140,Sergio León,Levante UD,Spain,LaLiga Santander,77,ST,3,4,H / M,77,78,64,78,43,69,178,409,1963
1141,Nathan Redmond,Southampton,England,Premier League,77,LM,4,3,H / M,84,71,71,81,27,52,173,386,1814
1142,André André,Vitória Guimarães,Portugal,Liga NOS,77,CM,3,4,H / H,69,71,76,78,71,68,174,433,2112
1143,Ramiro Funes Mori,Villarreal CF,Argentina,LaLiga Santander,77,CB,2,3,M / M,62,50,64,66,76,76,186,394,1859
1144,Marco van Ginkel,Chelsea,Holland,Premier League,77,CM,3,4,H / H,64,77,77,75,70,70,186,433,2104
1145,Arbilla,SD Eibar,Spain,LaLiga Santander,77,CB,2,4,M / H,59,56,71,67,75,76,178,404,1986
1146,Marco Bizot,AZ,Holland,Eredivisie,77,GK,1,2,M / M,80,74,66,77,45,74,194,416,939
1147,Michael Esser,Hannover 96,Germany,Bundesliga 2,77,GK,1,3,M / M,77,74,64,82,32,75,198,404,903
1148,Bruno,Getafe CF,Spain,LaLiga Santander,77,CB,2,3,M / M,32,33,51,50,77,79,185,322,1546
1149,Tomáš Koubek,FC Augsburg,Czech Republic,Bundesliga,77,GK,1,2,M / M,78,77,72,78,39,75,197,419,813
1150,Lorenzo Tonelli,Napoli,Italy,Serie A TIM,77,CB,2,3,L / H,64,31,44,60,79,71,183,349,1647
1151,Layvin Kurzawa,Paris Saint-Germain,France,Ligue 1 Conforama,77,LB,4,3,H / L,73,68,75,77,74,73,182,440,2098
1152,Ermin Bicakcic,TSG 1899 Hoffenheim,Bosnia and Herzegovina,Bundesliga,77,CB,2,3,M / H,57,37,50,48,78,78,185,348,1645
1153,Cristiano Piccini,Valencia CF,Italy,LaLiga Santander,77,RB,3,2,M / H,77,42,66,73,76,76,189,410,1897
1154,Robin Knoche,VfL Wolfsburg,Germany,Bundesliga,77,CB,2,4,M / M,48,41,52,51,79,71,190,342,1629
1155,Leonardo Bittencourt,TSG 1899 Hoffenheim,Germany,Bundesliga,77,CAM,3,4,M / M,82,65,75,82,54,59,170,417,2011
1156,Adrien Trebel,RSC Anderlecht,France,Belgium Pro League,77,CM,4,2,H / H,73,67,76,76,67,75,174,434,2101
1157,Kevin Stöger,Fortuna Düsseldorf,Austria,Bundesliga,77,CAM,3,3,M / M,69,67,77,78,40,62,175,393,1871
1158,Ole Kristian Selnæs,Shenzhen FC,Norway,CSL,77,CDM,3,3,L / M,66,60,75,73,72,72,187,418,1989
1159,Stefan Ristovski,Sporting CP,FYR Macedonia,Liga NOS,77,RB,3,3,M / M,89,61,68,74,74,79,180,445,2046
1160,Jack Grealish,Aston Villa,England,Premier League,77,CAM,4,3,M / M,75,66,74,80,41,59,175,395,1872
1161,Mitchell Weiser,Bayer 04 Leverkusen,Germany,Bundesliga,77,RB,4,4,H / M,80,62,75,83,72,68,177,440,2078
1162,Sergio Rico,Sevilla FC,Spain,LaLiga Santander,77,GK,1,3,M / M,77,74,77,80,48,74,194,430,907
1163,Marçal,Olympique Lyonnais,Brazil,Ligue 1 Conforama,77,LB,3,3,M / M,77,57,71,73,76,75,178,429,2008
1164,Andreas Pereira,Manchester United,Brazil,Premier League,77,CM,4,4,M / M,73,74,78,78,66,69,178,438,2115
1165,Rubén Sobrino,Valencia CF,Spain,LaLiga Santander,77,ST,3,4,H / M,81,76,63,76,41,67,185,404,1876
1166,Rodolfo Pizarro,Monterrey,Mexico,LIGA Bancomer MX,77,CAM,3,4,H / H,82,70,74,78,64,74,175,442,2069
1167,Sofiane Boufal,Southampton,Morocco,Premier League,77,LM,4,4,H / L,78,67,71,86,27,52,175,381,1812
1168,Camilo Vargas,Club Atlas,Colombia,LIGA Bancomer MX,77,GK,1,3,M / M,77,74,69,81,42,76,185,419,950
1169,Philipp Max,FC Augsburg,Germany,Bundesliga,77,LB,3,3,H / M,81,52,77,75,70,72,177,427,2020
1170,Pione Sisto,RC Celta,Denmark,LaLiga Santander,77,LW,4,4,H / L,80,75,72,81,47,63,171,418,1984
1171,Brandon Mechele,Club Brugge KV,Belgium,Belgium Pro League,77,CB,2,4,M / H,63,35,47,57,81,75,190,358,1647
1172,Alexander Djiku,RC Strasbourg Alsace,France,Ligue 1 Conforama,77,CB,2,3,M / H,76,40,64,69,76,80,182,405,1879
1173,Yannick Gerhardt,VfL Wolfsburg,Germany,Bundesliga,77,CM,3,3,M / M,71,67,74,76,73,75,184,436,2034
1174,Diego Llorente,Real Sociedad,Spain,LaLiga Santander,77,CB,2,3,M / M,60,40,62,65,76,73,186,376,1769
1175,Carlos Salcedo,Tigres U.A.N.L.,Mexico,LIGA Bancomer MX,77,CB,2,3,M / M,65,31,52,63,77,78,188,366,1650
1176,Frank Acheampong,Tianjin TEDA FC,Ghana,CSL,77,ST,4,3,H / M,94,76,67,79,51,75,168,442,2050
1177,Nabil Bentaleb,FC Schalke 04,Algeria,Bundesliga,77,CM,4,2,M / M,65,71,75,79,67,74,187,431,2086
1178,Facundo Ferreyra,RCD Espanyol,Argentina,LaLiga Santander,77,ST,3,3,M / L,65,76,59,75,31,68,186,374,1790
1179,Milton Casco,Núñez,Argentina,SAF,77,LB,3,4,H / M,86,68,71,77,71,78,170,451,2124
1180,Andrea Petagna,SPAL,Italy,Serie A TIM,77,ST,3,3,M / M,62,74,68,75,40,81,190,400,1877
1181,Marco Sportiello,Atalanta,Italy,Serie A TIM,77,GK,1,2,M / M,77,75,68,79,48,77,192,424,950
1182,Paulinho,SC Braga,Portugal,Liga NOS,77,ST,3,4,H / M,67,76,63,73,44,79,187,402,1926
1183,Gonzalo Escalante,SD Eibar,Argentina,LaLiga Santander,77,CDM,3,3,M / H,68,67,70,69,75,76,182,425,2027
1184,Jan Bednarek,Southampton,Poland,Premier League,77,CB,2,3,M / H,62,22,52,56,78,74,189,344,1571
1185,Rafael Santos Borré,Núñez,Colombia,SAF,77,ST,4,3,H / H,79,75,69,77,41,74,175,415,2003
1186,Alessandro Schöpf,FC Schalke 04,Austria,Bundesliga,77,RM,3,4,H / H,76,71,70,79,58,70,178,424,1988
1187,Dominic Calvert-Lewin,Everton,England,Premier League,77,ST,3,3,H / M,84,70,63,75,38,79,187,409,1908
1188,Ondrej Duda,Hertha BSC,Slovakia,Bundesliga,77,CAM,4,4,M / H,69,75,73,80,55,62,181,414,2000
1189,Jorge Meré,1. FC Köln,Spain,Bundesliga,77,CB,2,3,M / M,68,30,54,65,78,73,182,368,1719
1190,Enes Ünal,R. Valladolid CF,Turkey,LaLiga Santander,77,ST,3,3,H / M,72,77,64,75,36,78,185,402,1919
1191,Mario Pašalic,Atalanta,Croatia,Serie A TIM,77,CM,4,4,H / M,59,71,74,76,67,76,188,423,2030
1192,Paul Bernardoni,Nîmes Olympique,France,Ligue 1 Conforama,77,GK,1,2,M / M,78,74,73,84,31,76,190,416,820
1193,Adam Marušic,Lazio,Montenegro,Serie A TIM,77,RM,3,4,H / M,87,71,72,75,72,76,185,453,2110
1194,Emmanuel Boateng,Dalian Yifang FC,Ghana,CSL,77,ST,3,4,H / H,91,74,58,78,39,75,175,415,1934
1195,Kevin Lasagna,Udinese,Italy,Serie A TIM,77,ST,3,3,H / M,90,74,60,77,29,63,186,393,1832
1196,Alex Berenguer,Torino,Spain,Serie A TIM,77,LM,3,3,M / M,79,68,72,78,63,66,175,426,2010
1197,Konrad Laimer,RB Leipzig,Austria,Bundesliga,77,CM,3,3,M / M,83,65,73,77,73,73,180,444,2079
1198,Guido Rodríguez,Club América,Argentina,LIGA Bancomer MX,77,CDM,2,4,M / M,50,52,66,64,77,79,185,388,1821
1199,Nordi Mukiele,RB Leipzig,France,Bundesliga,77,CB,3,3,M / M,77,42,68,72,76,76,185,411,1916
1200,Aritz Elustondo,Real Sociedad,Spain,LaLiga Santander,77,CB,2,3,L / H,66,33,58,60,75,74,180,366,1725
1201,Omar Colley,Sampdoria,Gambia,Serie A TIM,77,CB,2,3,M / H,67,31,52,54,75,83,191,362,1641
1202,Emil Audero,Sampdoria,Italy,Serie A TIM,77,GK,1,2,M / M,80,73,73,80,55,74,192,435,859
1203,Matías Vargas,RCD Espanyol,Argentina,LaLiga Santander,77,LW,4,4,H / M,90,70,72,82,42,67,168,423,1980
1204,Dayot Upamecano,RB Leipzig,France,Bundesliga,77,CB,2,3,M / M,76,36,59,62,75,80,185,388,1726
1205,Sergi Guardiola,R. Valladolid CF,Spain,LaLiga Santander,77,ST,3,3,H / M,76,77,62,76,30,77,184,398,1861
1206,Córdoba,Athletic Club,Spain,LaLiga Santander,77,LW,4,3,M / H,83,71,71,81,64,70,180,440,2052
1207,Stefano Sensi,Inter,Italy,Serie A TIM,77,CM,3,4,M / M,59,58,79,76,65,66,168,403,1976
1208,Mouctar Diakhaby,Valencia CF,France,LaLiga Santander,77,CB,2,3,M / M,56,37,52,58,76,77,192,356,1657
1209,Marko Grujić,Hertha BSC,Serbia,Bundesliga,77,CDM,3,3,M / M,62,71,72,78,74,77,191,434,2067
1210,Mauro Arambarri,Getafe CF,Uruguay,LaLiga Santander,77,CDM,3,3,M / M,37,57,70,71,76,70,175,381,1868
1211,Edouard Mendy,Stade Rennais FC,Senegal,Ligue 1 Conforama,77,GK,1,2,M / M,77,73,70,78,36,76,197,410,731
1212,Joakim Mæhle,KRC Genk,Denmark,Belgium Pro League,77,RB,3,3,H / H,91,56,68,74,71,80,184,440,1995
1213,Pablo Rosario,PSV,Holland,Eredivisie,77,CDM,3,3,M / M,71,64,68,72,74,80,188,429,1982
1214,Brais Méndez,RC Celta,Spain,LaLiga Santander,77,RM,4,3,H / M,74,75,75,77,50,63,187,414,1950
1215,Antonín Barák,Udinese,Czech Republic,Serie A TIM,77,CM,4,3,H / M,64,73,76,76,52,71,190,412,1967
1216,Matías Rojas,Racing Club,Paraguay,SAF,77,CM,4,3,H / M,81,78,76,80,63,70,186,448,2128
1217,Federico Valverde,Real Madrid,Uruguay,LaLiga Santander,77,CM,3,3,M / M,68,69,73,73,66,67,182,416,1905
1218,Lisandro Martínez,Ajax,Argentina,Eredivisie,77,CB,3,3,M / H,75,55,70,74,77,76,178,427,2028
1219,Alexandros Paschalakis,PAOK,Greece,Hellas Liga,77,GK,1,2,M / M,81,68,68,81,53,74,197,425,937
1220,Youcef Atal,OGC Nice,Algeria,Ligue 1 Conforama,77,RB,4,5,H / H,88,68,72,82,71,73,176,454,2117
1221,Chiquinho,SL Benfica,Portugal,Liga NOS,77,CAM,3,3,H / M,72,70,76,79,57,51,174,405,1980
1222,Patrik Hrošovský,KRC Genk,Slovakia,Belgium Pro League,77,CM,3,3,H / H,71,68,76,76,70,68,174,429,2082
1223,Reguilón,Sevilla FC,Spain,LaLiga Santander,77,LB,2,3,H / M,78,50,71,73,75,69,178,416,1954
1224,Renan Augusto Lodi dos Santos,Atlético Madrid,Brazil,LaLiga Santander,77,LB,4,3,H / M,84,66,75,79,72,73,173,449,2124
1225,Daniel Baier,FC Augsburg,Germany,Bundesliga,77,CDM,3,3,M / H,43,55,77,76,72,69,176,392,1965
1226,Danny Drinkwater,Burnley,England,Premier League,77,CM,3,4,M / M,59,66,76,75,71,68,177,415,2026
1227,Roger,Levante UD,Spain,LaLiga Santander,77,ST,3,3,H / M,76,78,60,74,41,69,179,398,1890
1228,Yassine Bounou,Girona FC,Morocco,LaLiga 1 I 2 I 3,77,GK,1,3,M / M,75,77,75,76,37,75,192,415,893
1229,Mahmoud Hassan,Aston Villa,Egypt,Premier League,77,LW,4,5,H / M,84,74,73,79,35,65,179,410,1889
1230,Gary Cahill,Crystal Palace,England,Premier League,77,CB,2,3,M / M,41,58,51,57,78,74,193,359,1731
1231,Mauricio Pereyra,Orlando City Soccer Club,Uruguay,Major League Soccer,77,CM,4,2,M / M,73,71,77,78,54,63,170,416,2025
1232,Rômulo,Brescia,Italy,Serie A TIM,77,RM,4,2,M / M,78,66,76,79,70,71,178,440,2132
1233,Jonas Martin,Stade Rennais FC,France,Ligue 1 Conforama,77,CM,4,4,H / M,62,69,77,75,68,73,182,424,2042
1234,Leonardo Bittencourt,SV Werder Bremen,Germany,Bundesliga,77,CAM,3,4,M / M,82,65,75,82,54,59,170,417,2022
1235,Vlad Chiriches,Sassuolo,Romania,Serie A TIM,77,CB,2,3,M / M,63,64,56,63,80,69,184,395,1864
1236,Sergio Rico,Paris Saint-Germain,Spain,Ligue 1 Conforama,77,GK,1,3,M / M,77,74,77,80,48,74,194,430,907
1237,Yassine Bounou,Sevilla FC,Morocco,LaLiga Santander,77,GK,1,3,M / M,75,77,75,76,37,75,192,415,893
1238,Mohamed Elneny,Beşiktaş JK,Egypt,Süper Lig,77,CDM,3,3,M / H,59,63,72,71,74,74,181,413,1979
1239,Giovanni Simeone,Cagliari,Argentina,Serie A TIM,77,ST,3,3,H / H,77,75,59,76,39,71,180,397,1909
1240,Jermain Defoe,Rangers FC,England,Scottish Premiership,76,ST,3,4,M / L,67,82,60,76,26,56,171,367,1825
1241,Bastian Schweinsteiger,Chicago Fire Soccer Club,Germany,Major League Soccer,76,CB,3,3,M / M,34,71,79,72,74,73,183,403,2060
1242,Hasan Ali Kaldirim,Fenerbahçe SK,Turkey,Süper Lig,76,LB,3,2,M / H,74,56,68,71,74,72,183,415,1943
1243,Atiba Hutchinson,Beşiktaş JK,Canada,Süper Lig,76,CDM,2,4,H / H,65,64,73,71,75,75,187,423,2023
1244,Jesús Dátolo,Club Atlético Banfield,Argentina,SAF,76,CM,4,3,H / L,61,76,80,77,51,60,177,405,1979
1245,José Sand,Club Atlético Lanús,Argentina,SAF,76,ST,3,4,H / L,46,79,61,66,36,74,185,362,1790
1246,Robert Snodgrass,West Ham United,Scotland,Premier League,76,RM,3,3,H / M,61,74,77,77,47,71,182,407,1992
1247,Léo Matos,PAOK,Brazil,Hellas Liga,76,RB,4,3,H / M,84,69,71,75,72,76,184,447,2089
1248,Jonathan Orozco,Santos Laguna,Mexico,LIGA Bancomer MX,76,GK,1,3,M / M,76,71,82,76,59,77,184,441,1135
